BEGIN
SET
         team         | h_div |  site   |         opp         | v_div | t_score | o_score 
----------------------+-------+---------+---------------------+-------+---------+---------
 Adams St.            |     2 | home    | Fort Lewis          |     2 |    82.8 |    84.2
 Adelphi              |     2 | home    | American Int'l      |     2 |    84.9 |    71.4
 Alas. Fairbanks      |     2 | home    | Alas. Anchorage     |     2 |    58.0 |    61.0
 Arkansas             |     1 | home    | Kentucky            |     1 |    79.4 |    75.6
 Ark.-Monticello      |     2 | home    | Southern Ark.       |     2 |    79.0 |    70.9
 Assumption           |     2 | home    | Southern N.H.       |     2 |    68.0 |    74.6
 Augustana (IL)       |     3 | home    | Elmhurst            |     3 |    82.8 |    68.9
 Baldwin Wallace      |     3 | home    | Mount Union         |     3 |    75.6 |    69.0
 Ball St.             |     1 | home    | Northern Ill.       |     1 |    78.1 |    70.2
 Baylor               |     1 | home    | West Virginia       |     1 |    70.6 |    72.2
 Bowling Green        |     1 | home    | Akron               |     1 |    78.7 |    72.3
 Bridgewater (VA)     |     3 | home    | East. Mennonite     |     3 |    75.5 |    70.6
 Buena Vista          |     3 | home    | Central (IA)        |     3 |    90.1 |    79.3
 Butler               |     1 | home    | Creighton           |     1 |    79.3 |    76.0
 Cal Lutheran         |     3 | home    | La Verne            |     3 |    82.1 |    66.4
 Caltech              |     3 | home    | Claremont-M-S       |     3 |    65.2 |    73.4
 Carroll (WI)         |     3 | home    | Wheaton (IL)        |     3 |    75.1 |    75.4
 CMSV                 |     3 | home    | Old Westbury        |     3 |    76.9 |    65.2
 Colby-Sawyer         |     3 | home    | Castleton           |     3 |    75.8 |    66.8
 Dayton               |     1 | home    | Saint Louis         |     1 |    67.3 |    65.1
 Dominican (CA)       |     2 | home    | Concordia (CA)      |     2 |    64.9 |    77.7
 Eastern Conn. St.    |     3 | home    | Plymouth St.        |     3 |    94.5 |    64.0
 Eastern Mich.        |     1 | home    | Toledo              |     1 |    70.3 |    70.5
 Emmanuel (GA)        |     2 | home    | North Greenville    |     2 |    77.6 |    65.2
 Endicott             |     3 | home    | Wentworth           |     3 |    72.1 |    60.6
 Erskine              |     2 | home    | Southern Wesleyan   |     2 |    72.0 |    56.4
 ETSU                 |     1 | home    | The Citadel         |     1 |    94.5 |    71.1
 Fitchburg St.        |     3 | home    | Westfield St.       |     3 |    78.2 |    75.7
 Franklin Pierce      |     2 | home    | Bentley             |     2 |    78.0 |    78.7
 Furman               |     1 | home    | VMI                 |     1 |    80.3 |    58.8
 Gordon               |     3 | home    | Salve Regina        |     3 |    82.3 |    69.7
 Guilford             |     3 | home    | Shenandoah          |     3 |    82.2 |    67.9
 Henderson St.        |     2 | home    | Ouachita Baptist    |     2 |    75.7 |    76.2
 Hiram                |     3 | home    | Denison             |     3 |    76.0 |    71.8
 Ill. Wesleyan        |     3 | home    | North Central (IL)  |     3 |    73.1 |    71.2
 Ithaca               |     3 | home    | Skidmore            |     3 |    76.8 |    76.5
 John Carroll         |     3 | home    | Heidelberg          |     3 |   102.2 |    82.2
 John Jay             |     3 | neutral | Lehman              |     3 |    69.5 |    82.5
 Johnson & Wales (RI) |     3 | home    | Norwich             |     3 |    80.0 |    66.9
 Keene St.            |     3 | home    | Southern Me.        |     3 |    80.6 |    56.7
 Lakeland             |     3 | home    | Concordia Wisconsin |     3 |    82.8 |    82.5
 Lancaster Bible      |     3 | home    | Penn St.-Abington   |     3 |    85.1 |    71.9
 La Salle             |     1 | home    | Rhode Island        |     1 |    69.0 |    77.6
 Lasell               |     3 | home    | Regis (MA)          |     3 |    74.1 |    70.2
 Lees-McRae           |     2 | home    | Belmont Abbey       |     2 |    92.8 |    80.7
 Lehman               |     3 | neutral | John Jay            |     3 |    82.5 |    69.5
 Le Moyne             |     2 | home    | New Haven           |     2 |    70.7 |    59.7
 Lesley               |     3 | home    | Wheelock            |     3 |    78.0 |    66.3
 LSU                  |     1 | home    | Vanderbilt          |     1 |    76.5 |    70.5
 Lynchburg            |     3 | home    | Hampden-Sydney      |     3 |    88.6 |    70.6
 Marietta             |     3 | home    | Wilmington (OH)     |     3 |    86.6 |    73.1
 Maryville (TN)       |     3 | home    | LaGrange            |     3 |    88.7 |    71.9
 Mary Washington      |     3 | home    | Frostburg St.       |     3 |    81.0 |    71.3
 MCLA                 |     3 | home    | Framingham St.      |     3 |    67.4 |    57.7
 Mercer               |     1 | home    | Western Caro.       |     1 |    78.6 |    64.4
 Merrimack            |     2 | home    | Saint Michael's     |     2 |    80.9 |    67.6
 Miami (OH)           |     1 | home    | Buffalo             |     1 |    72.0 |    78.0
 Michigan St.         |     1 | home    | Illinois            |     1 |    83.4 |    64.8
 Midwestern St.       |     2 | home    | Cameron             |     2 |    76.6 |    76.4
 Missouri             |     1 | home    | Ole Miss            |     1 |    78.2 |    67.5
 Mitchell             |     3 | home    | Elms                |     3 |    84.6 |    67.0
 Morrisville St.      |     3 | home    | Cazenovia           |     3 |    77.8 |    66.7
 Mo. Southern St.     |     2 | home    | Pittsburg St.       |     2 |    91.6 |    85.5
 Mount Olive          |     2 | home    | Limestone           |     2 |    77.3 |    69.3
 MSOE                 |     3 | home    | Edgewood            |     3 |    67.6 |    62.5
 NC State             |     1 | home    | Boston College      |     1 |    83.1 |    77.3
 N.C. Wesleyan        |     3 | home    | Greensboro          |     3 |    99.3 |    85.6
 Neb.-Kearney         |     2 | home    | Fort Hays St.       |     2 |    75.3 |    72.9
 Nebraska             |     1 | home    | Indiana             |     1 |    71.0 |    67.7
 Nichols              |     3 | home    | Western New Eng.    |     3 |    92.0 |    75.2
 N.M. Highlands       |     2 | home    | Western St.         |     2 |    80.9 |    76.8
 North Park           |     3 | home    | Carthage            |     3 |    63.8 |    74.7
 Occidental           |     3 | home    | Redlands            |     3 |    72.9 |    62.9
 Ohio                 |     1 | home    | Kent St.            |     1 |    75.5 |    71.5
